-5	25
2	4
10	100
-5	25
0	0
-1	1
1	1
-7	49
3	9
-1	1
8	64
-4	16
-3	9
5	25
8	64
0	0
9	81
5	25
4	16
-9	81
-4	16
7	49
8	64
5	25
1	1
-5	25
8	64
5	25
-9	81
0	0
-6	36
-9	81
10	100
5	25
3	9
-7	49
0	0
6	36
3	9
10	100
9	81
9	81
2	4
0	0
-5	25
2	4
-3	9
-5	25
6	36
-2	4
-7	49
-2	4
2	4
5	25
-5	25
3	9
-2	4
-3	9
4	16
-4	16
10	100
5	25
-9	81
10	100
6	36
8	64
-5	25
10	100
-4	16
-2	4
7	49
0	0
2	4
-1	1
8	64
7	49
-2	4
1	1
2	4
-2	4
-1	1
0	0
-8	64
5	25
8	64
-2	4
-1	1
7	49
-6	36
5	25
1	1
-5	25
3	9
3	9
10	100
6	36
7	49
8	64
-7	49
-8	64
0	0
6	36
-7	49
-7	49
3	9
2	4
-4	16
5	25
5	25
6	36
0	0
-1	1
-9	81
0	0
-2	4
-4	16
3	9
2	4
5	25
6	36
-9	81
-9	81
-5	25
-8	64
2	4
-10	100
-9	81
-8	64
-7	49
-7	49
-1	1
0	0
-3	9
1	1
0	0
-3	9
10	100
10	100
7	49
-6	36
-3	9
-7	49
-2	4
6	36
2	4
-2	4
7	49
0	0
6	36
-5	25
9	81
-3	9
-4	16
3	9
-10	100
1	1
-3	9
-2	4
5	25
-5	25
5	25
7	49
-3	9
-10	100
-2	4
4	16
3	9
-9	81
9	81
-5	25
9	81
5	25
3	9
-7	49
-7	49
-5	25
-9	81
6	36
-1	1
8	64
-9	81
-6	36
1	1
-9	81
4	16
2	4
6	36
4	16
-4	16
5	25
10	100
-4	16
-10	100
7	49
4	16
-4	16
-7	49
-5	25
-1	1
3	9
-1	1
3	9
-9	81
4	16
6	36
-5	25
9	81
-10	100
-7	49
2	4
7	49
2	4
-2	4
0	0
-5	25
-6	36
9	81
6	36
9	81
10	100
3	9
5	25
-5	25
5	25
10	100
1	1
-5	25
10	100
2	4
-9	81
-9	81
9	81
0	0
-7	49
-4	16
10	100
4	16
10	100
-4	16
9	81
1	1
-6	36
-6	36
-5	25
-4	16
-2	4
-8	64
0	0
0	0
-8	64
9	81
7	49
1	1
-5	25
6	36
10	100
0	0
-2	4
-7	49
4	16
-10	100
0	0
2	4
3	9
-1	1
-8	64
3	9
-1	1
-8	64
10	100
6	36
1	1
10	100
3	9
-5	25
-1	1
-1	1
-7	49
4	16
1	1
-5	25
-4	16
-5	25
-2	4
-5	25
-9	81
-2	4
-6	36
3	9
7	49
-7	49
3	9
5	25
9	81
-7	49
-8	64
7	49
7	49
-5	25
10	100
-9	81
-3	9
8	64
7	49
9	81
